"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 07 13:24:01 UTC 2026","Tue Apr 07 13:24:03 UTC 2026","2156","","com.saucedemo.tests.CheckoutTest","","com.saucedemo.tests.CheckoutTest","orderSummaryShowsCorrectItemCount","Order summary shows correct item count",""
"passed","Tue Apr 07 13:23:40 UTC 2026","Tue Apr 07 13:23:41 UTC 2026","1031","","com.saucedemo.tests.LoginTest","","com.saucedemo.tests.LoginTest","sqlInjectionDoesNotAuthenticate","SQL injection attempt does not authenticate",""
"passed","Tue Apr 07 13:24:07 UTC 2026","Tue Apr 07 13:24:09 UTC 2026","1944","","com.saucedemo.tests.CheckoutTest","","com.saucedemo.tests.CheckoutTest","missingLastNameShowsError","Missing last name shows error on checkout step one",""
"passed","Tue Apr 07 13:23:38 UTC 2026","Tue Apr 07 13:23:39 UTC 2026","1195","","com.saucedemo.tests.LoginTest","","com.saucedemo.tests.LoginTest","standardUserCanLogin","Standard user can log in successfully",""
"passed","Tue Apr 07 13:23:58 UTC 2026","Tue Apr 07 13:23:59 UTC 2026","1351","","com.saucedemo.tests.AddToCartTest","","com.saucedemo.tests.AddToCartTest","removeAllProductsHidesCartBadge","Removing all products hides cart badge",""
"passed","Tue Apr 07 13:24:11 UTC 2026","Tue Apr 07 13:24:13 UTC 2026","1843","","com.saucedemo.tests.CheckoutTest","","com.saucedemo.tests.CheckoutTest","missingPostalCodeShowsError","Missing postal code shows error on checkout step one",""
"passed","Tue Apr 07 13:23:25 UTC 2026","Tue Apr 07 13:23:33 UTC 2026","8254","","com.saucedemo.smoke.SmokeTest","","com.saucedemo.smoke.SmokeTest","applicationLoads","Application loads successfully","Verifies that the base URL is reachable and the page title is correct"
"passed","Tue Apr 07 13:23:53 UTC 2026","Tue Apr 07 13:23:55 UTC 2026","1921","","com.saucedemo.tests.AddToCartTest","","com.saucedemo.tests.AddToCartTest","allProductsCanBeAddedToCart","All six products can be added to cart",""
"passed","Tue Apr 07 13:24:13 UTC 2026","Tue Apr 07 13:24:15 UTC 2026","1906","","com.saucedemo.tests.CheckoutTest","","com.saucedemo.tests.CheckoutTest","checkoutWithMultipleItems","Checkout works with multiple items in cart",""
"passed","Tue Apr 07 13:23:52 UTC 2026","Tue Apr 07 13:23:53 UTC 2026","1118","","com.saucedemo.tests.AddToCartTest","","com.saucedemo.tests.AddToCartTest","productsPageShowsSixItems","Products page shows correct total product count",""
"passed","Tue Apr 07 13:24:09 UTC 2026","Tue Apr 07 13:24:11 UTC 2026","1884","","com.saucedemo.tests.CheckoutTest","","com.saucedemo.tests.CheckoutTest","orderSummaryDisplaysTotalAndTax","Order summary displays total and tax",""
"passed","Tue Apr 07 13:23:35 UTC 2026","Tue Apr 07 13:23:36 UTC 2026","1166","","com.saucedemo.tests.LoginTest","","com.saucedemo.tests.LoginTest","lockedOutUserSeesError","Locked out user sees specific error",""
"passed","Tue Apr 07 13:24:17 UTC 2026","Tue Apr 07 13:24:19 UTC 2026","1797","","com.saucedemo.tests.CheckoutTest","","com.saucedemo.tests.CheckoutTest","missingFirstNameShowsError","Missing first name shows error on checkout step one",""
"passed","Tue Apr 07 13:23:59 UTC 2026","Tue Apr 07 13:24:01 UTC 2026","1558","","com.saucedemo.tests.AddToCartTest","","com.saucedemo.tests.AddToCartTest","addMultipleProductsUpdatesCartCount","Adding multiple products reflects correct cart count",""
"passed","Tue Apr 07 13:24:05 UTC 2026","Tue Apr 07 13:24:07 UTC 2026","2406","","com.saucedemo.tests.CheckoutTest","","com.saucedemo.tests.CheckoutTest","afterOrderUserCanReturnToProducts","After order completion user can return to products",""
"passed","Tue Apr 07 13:24:03 UTC 2026","Tue Apr 07 13:24:05 UTC 2026","2268","","com.saucedemo.tests.CheckoutTest","","com.saucedemo.tests.CheckoutTest","cancelCheckoutStepTwoReturnsToProducts","Cancelling checkout step two returns to products",""
"passed","Tue Apr 07 13:23:36 UTC 2026","Tue Apr 07 13:23:37 UTC 2026","1094","","com.saucedemo.tests.LoginTest","","com.saucedemo.tests.LoginTest","emptyPasswordShowsError","Empty password shows error message",""
"passed","Tue Apr 07 13:23:50 UTC 2026","Tue Apr 07 13:23:52 UTC 2026","1293","","com.saucedemo.tests.AddToCartTest","","com.saucedemo.tests.AddToCartTest","addOneProductUpdatesCartBadge","Adding one product increments cart badge to 1",""
"passed","Tue Apr 07 13:23:56 UTC 2026","Tue Apr 07 13:23:58 UTC 2026","1464","","com.saucedemo.tests.AddToCartTest","","com.saucedemo.tests.AddToCartTest","removeProductDecrementsCartBadge","Removing a product decrements cart badge",""
"passed","Tue Apr 07 13:23:33 UTC 2026","Tue Apr 07 13:23:35 UTC 2026","1437","","com.saucedemo.tests.LoginTest","","com.saucedemo.tests.LoginTest","wrongPasswordShowsError","Wrong password shows error message",""
"passed","Tue Apr 07 13:23:39 UTC 2026","Tue Apr 07 13:23:40 UTC 2026","1027","","com.saucedemo.tests.LoginTest","","com.saucedemo.tests.LoginTest","emptyCredentialsShowError","Empty credentials show error message",""
"passed","Tue Apr 07 13:23:49 UTC 2026","Tue Apr 07 13:23:50 UTC 2026","1321","","com.saucedemo.tests.AddToCartTest","","com.saucedemo.tests.AddToCartTest","addedProductAppearsInCart","Added product appears in cart",""
"passed","Tue Apr 07 13:23:41 UTC 2026","Tue Apr 07 13:23:48 UTC 2026","6193","","com.saucedemo.tests.LoginTest","","com.saucedemo.tests.LoginTest","performanceGlitchUserCanLogin","Performance glitch user can log in",""
"passed","Tue Apr 07 13:24:19 UTC 2026","Tue Apr 07 13:24:20 UTC 2026","1500","","com.saucedemo.tests.CheckoutTest","","com.saucedemo.tests.CheckoutTest","cancelCheckoutStepOneReturnsToCart","Cancelling checkout step one returns to cart",""
"passed","Tue Apr 07 13:23:37 UTC 2026","Tue Apr 07 13:23:38 UTC 2026","1179","","com.saucedemo.tests.LoginTest","","com.saucedemo.tests.LoginTest","unknownUsernameShowsError","Unknown username shows error message",""
"passed","Tue Apr 07 13:23:48 UTC 2026","Tue Apr 07 13:23:49 UTC 2026","1524","","com.saucedemo.tests.AddToCartTest","","com.saucedemo.tests.AddToCartTest","cartPersistsAfterNavigation","Cart contents persist after navigating back to products",""
